id,notice_en,period_en,location_en,details_en,notice_fr,period_fr,location_fr,details_fr,dt_start,dt_end,person_candidates
1320084127550,"1320084127550 Notice of half-masting: Death of the Honourable Jack Layton,  P.C., B.A, M.A., Ph.D - Leader of Her Majesty’s Loyal Opposition and Member of the Queen’s Privy Council for Canada.","Masting period: From August 22 until sunset on Saturday, August 27, 2011, the day of the funeral of the late Honourable Jack Layton.","Masting location(s): All Government of Canada buildings and establishments across Canada, including the Peace Tower in Ottawa.",Additional details: Rules for Half-masting the National Flag of Canada (Section 16),"1320084127550 Avis de mise en berne : Décès de l’honorable Jack Layton, C.P., B.A., M.A., Ph.D, Chef de la loyale opposition de Sa Majesté et membre du Conseil privé de la Reine pour le Canada.","Période de mise en berne : Du 22 août jusqu'au crépuscule le samedi 27 août 2011, jour des funérailles de feu l'honorable Jack Layton.","Endroit(s) de la mise en berne : Les drapeaux sur tous les édifices et établissements du gouvernement du Canada partout au pays, incluant la Tour de la Paix sur la Colline du Parlement à Ottawa.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 16),2011-08-22,2011-08-27,"[('Jack Layton', 3), ('Honourable Jack Layton', 1), ('de Sa Majesté', 1), ('Période', 1), ('Du 22', 1), ('Les', 1), ('la Tour de la Paix', 1)]"
1320084757099,1320084757099 Notice of half-masting: Tenth Anniversary of 9/11.,"Masting period: From sunrise to sunset on Sunday, September 11, 2011, to honour the memory of the innocent people who lost their lives during the terrorist attacks of September 11, 2001.",Masting location(s): The Peace Tower on Parliament Hill in Ottawa.,Additional details: Rules for Half-masting the National Flag of Canada (Section 16),1320084757099 Avis de mise en berne : Dixième anniversaire des attentats du 11 septembre 2001.,Période de mise en berne : De l'aube jusqu'au crépuscule le dimanche 11 septembre 2011 pour honorer la mémoire des personnes innocentes qui ont perdu la vie lors des attentats du 11 septembre 2001.,Endroit(s) de la mise en berne : Tour de la Paix sur la Colline du Parlement à Ottawa.,Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 16),2011-09-11,2001-09-11,"[('Dixième', 1), ('Période', 1), ('la mémoire', 1), ('Tour de la Paix sur la Colline', 1)]"
1320341449224,1320341449224 Notice of half-masting: Death of two victims of the Arctic Sunwest Crash in the Northwest Territories.,"Masting period: From September 23 until sunset on Sunday, September 25, 2011, to honour the memory of the two victims.","Masting location(s): All Government of Canada buildings and establishments in the City of Yellowknife, Northwest Territories.",Additional details: Rules for Half-masting the National Flag of Canada (Section 10),1320341449224 Avis de mise en berne : Décès de deux victimes dans l’écrasement d’un avion de l’Arctic Sunwest aux Territoires du Nord-Ouest.,"Période de mise en berne : Du 23 septembre  jusqu'au crépuscule le dimanche 25 septembre 2011, en mémoire des deux victimes décédées.","Endroit(s) de la mise en berne : Tous les édifices et établissements du Gouvernement du Canada dans la ville de Yellowknife, Territoires du Nord-Ouest.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 10),2011-09-23,2011-09-25,"[('Période', 1), ('Du', 1)]"
1320344645088,1320344645088 Notice of half-masting: Police and Peace Officers' National Memorial Day.,"Masting period: From sunrise to sunset on Sunday, September 25, 2011.","Masting location(s): All Government of Canada buildings and establishments across the country, including the Peace Tower on Parliament Hill in Ottawa.",Additional details: Rules for Half-masting the National Flag of Canada (Section 11),1320344645088 Avis de mise en berne : Jour commémoratif national des policiers et des agents de la paix.,Période de mise en berne : De l’aube au crépuscule le dimanche 25 septembre 2011.,"Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada partout au pays, y compris la Tour de la Paix sur la Colline du Parlement à Ottawa.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 11),2011-09-25,2011-09-25,"[('Période', 1), ('compris la Tour de la Paix', 1)]"
1320346177554,1320346177554 Notice of half-masting: Death of two victims in a plane crash near the community of Lutselk'e in the Northwest Territories.,"Masting period: Wednesday, October 5, 2011, to honour the memory of the two victims.","Masting location(s): All Government of Canada buildings and establishments in Yellowknife and Lutselk'e, Northwest Territories.",Additional details: Rules for Half-masting the National Flag of Canada (Section 10),1320346177554 Avis de mise en berne : Décès de deux victimes dans l’écrasement d’un avion près de la communauté de Lutselk’e aux Territoires du Nord-Ouest.,"Période de mise en berne : Le mercredi 5 octobre 2011, en mémoire des victimes décédées.","Endroit(s) de la mise en berne : Tous les édifices et établissements du Gouvernement du Canada dans les villes de Yellowknife et Lutselke's, Territoires du Nord-Ouest.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 10),2011-10-05,2011-10-05,"[('Période', 1)]"
1320348316207,"1320348316207 Notice of half-masting: Death of the Honourable Reginald B. Alcock, P.C., B.A., M.P.A. and Former Member of Parliament for the Riding of Winnipeg South (1993-2006)","Masting period: From October 19 until sunset on Friday, October 21, 2011, the day of the memorial service of the late Honourable B. Reginald Alcock.","Masting location(s): October 19 to 21: All Government of Canada buildings and establishments in the city of Winnipeg, Manitoba. October 21: The Peace Tower on Parliament Hill in Ottawa.",Additional details: Rules for Half-masting the National Flag of Canada (Section 7),"1320348316207 Avis de mise en berne : Décès de l’honorable Réginald b. Alcock, C.P., B.A., M.P.A. et ancien député pour la circonscription de Winnipeg-Sud (1993-2006).","Période de mise en berne : Du 19 octobre jusqu’au  crépuscule le vendredi 21 octobre 2011, jour du service commémoratif de feu l’honorable Reginald B. Alcock.","Endroit(s) de la mise en berne : Du 20 au 21 octobre : Tous les édifices et établissements du Gouvernement du Canada dans la ville de Winnipeg, Manitoba. Le 21 octobre : Tour de la Paix sur la Colline du Parlement à Ottawa.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 7),2011-10-19,2011-10-21,"[('Honourable B. Reginald Alcock', 1), ('ancien député pour la circonscription de Winnipeg-Sud', 1), ('Période', 1), ('la ville de Winnipeg', 1), ('Tour de la Paix sur la Colline', 1)]"
1320350357939,"1320350357939 Notice of half-masting: Death of the Honourable Barnett J. Danson, P.C., C.C., LL.D., and Former Member of Parliament for the Riding of York North (1968-1979)","Masting period: From October 20 until sunset on Sunday, October 23, 2011, the day of the funeral service of the late Honourable Barnett J. Danson.","Masting location(s): October 20 to 23: All Government of Canada buildings and establishments in the city of Toronto, Ontario.",Additional details: October 23: The Peace Tower on Parliament Hill in Ottawa. Rules for Half-masting the National Flag of Canada (Section 7),"1320350357939 Avis de mise en berne : Décès de l’honorable Barnett J. Danson, C.P., C.C., LL.D., et ancien député pour la circonscription de York-Nord (1968-1979).","Période de mise en berne : Du 20 octobre jusqu’au crépuscule le dimanche 23 octobre 2011, jour des funérailles de feu l’honorable Barnett J. Danson.","Endroit(s) de la mise en berne : Du 20 au 23 octobre : Tous les édifices et établissements du Gouvernement du Canada dans la ville de Toronto, Ontario. Le 23 octobre 2011 : Tour de la Paix sur la Colline du Parlement à Ottawa.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 7),2011-10-20,2011-10-23,"[('J. Danson', 1), ('Honourable Barnett J. Danson', 1), ('ancien député pour la circonscription', 1), ('Période', 1), ('Du', 1), ('Barnett J. Danson', 1), ('la ville de Toronto', 1)]"
1320760454114,1320760454114 Notice of half-masting: Remembrance Day,"Masting period: From sunrise to sunset on Friday, November 11, 2011.","Masting location(s): All Government of Canada buildings and establishments across the country, including the Peace Tower on Parliament Hill in Ottawa. When half-masting occurs at the National War Memorial or a place where remembrance is being observed, the half-masting can occur at 11:00 a.m. (or according to the prescribed order or service) until sunset.",Additional details: Rules for Half-masting the National Flag of Canada (Section 11),1320760454114 Avis de mise en berne : Jour du Souvenir.,"Période de mise en berne : De l'aube jusqu’au crépuscule, le vendredi 11 novembre 2011.","Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada partout au pays, y compris la Tour de la Paix sur la Colline du Parlement à Ottawa. Lorsque la mise en berne a lieu au Monument commémoratif de la guerre du Canada ou à un autre endroit où se déroule un service commémoratif, celle-ci peut avoir lieu à compter de 11 heures (ou selon l’ordre prescrit du service) jusqu’au crépuscule.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 11),2011-11-11,2011-11-11,"[('Période', 1), ('compris la Tour de la Paix', 1)]"
1321300280524,"1321300280524 Notice of half-masting: Death of The Honourable Stuart Stratton, Q.C., former Chief Justice of New Brunswick.","Masting period: From November 14 until sunset on Wednesday, November 16, 2011, the day of the funeral of the late Honourable Stuart Stratton.",Masting location(s): All Government of Canada buildings and establishments in the province of New Brunswick.,Additional details: Rules for Half-masting the National Flag of Canada (Section 10),"1321300280524 Avis de mise en berne : Décès de l’honorable Stuart Stratton, Q.C., ancien Juge en chef du Nouveau-Brunswick.","Période de mise en berne : Du 14 novembre jusqu'au crépuscule, le mercredi 16 novembre 2011,  jour des funérailles de feu l'honorable Stuart Stratton.",Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada dans la province du Nouveau-Brunswick.,Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 10),2011-11-14,2011-11-16,"[('Juge', 1), ('Période', 1), ('Stuart Stratton', 1)]"
1326747909965,1326747909965 Notice of half-masting: National Day of Remembrance and Action on Violence Against Women,"Masting period: From sunrise to sunset on Tuesday, December 6, 2011.","Masting location(s): All Government of Canada buildings and establishments across the country, including the Peace Tower on Parliament Hill in Ottawa.",Additional details: Rules for Half-masting the National Flag of Canada (Section 11),1326747909965 Avis de mise en berne : Journée nationale de commémoration et d'action contre la violence faite aux femmes.,"Période de mise en berne : De l'aube jusqu’au crépuscule, le mardi 6 décembre 2011.","Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada partout au pays, y compris la Tour de la Paix sur la Colline du Parlement à Ottawa.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 11),2011-12-06,2011-12-06,"[('Période', 1), ('compris la Tour de la Paix', 1)]"
1326919920150,"1326919920150 Notice of half-masting: Death of His Excellency Richard Turkson, High Commissionner for Ghana in Canada, who passed away on November 23, 2011.","Masting period: From sunrise to sunset on Saturday January 14, 2012, day of the funeral service of His late Excellency Richard Turkson.",Masting location(s): The Peace Tower on Parliament Hill in Ottawa.,Additional details: Rules for Half-masting the National Flag of Canada (Section 9),"1326919920150 Avis de mise en berne : Décès de son Excellence Richard Turkson, haut-commissaire du Ghana au Canada, survenu le 23 novembre 2011.","Période de mise en berne : De l'aube jusqu'au crépuscule, le samedi 14 janvier 2012, jour des funérailles de feu son Excellence Richard Turkson.",Endroit(s) de la mise en berne : La Tour de la Paix sur la Colline du Parlement à Ottawa.,Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 9),2012-01-14,2012-01-14,"[('Richard Turkson', 2), ('Excellence Richard Turkson', 2), ('Commissionner', 1), ('Période', 1), ('La Tour de la Paix', 1)]"
1329149038244,"1329149038244 Notice of half-masting: Death of the Honourable Fred Dickson, Q.C., Senator (2009-2012), who passed away February 9, 2012.","Masting period: From February 9 until sunset on February 18, 2012 day of the funeral of the late Honourable Fred Dickson.","Masting location(s): February 9 to 18: All Government of Canada buildings and establishments in the city of Truro, Nova Scotia. February 18: The Peace Tower on Parliament Hill in Ottawa.",Additional details: Rules for Half-masting the National Flag of Canada (Section 7),"1329149038244 Avis de mise en berne : Décès de l’honorable Fred Dickson, c.r., Sénateur (2009-2012), survenu le 9 février 2012.","Période de mise en berne : Du 9 février jusqu’au crépuscule le 18 février 2012, jour des funérailles de feu l'honorable Fred Dickson.","Endroit(s) de la mise en berne : Du 9 au 18 février : Tous les édifices et établissements du Gouvernement du Canada dans la ville de Truro, Nouvelle-Écosse. Le 18 février : Tour de la Paix sur la Colline du Parlement à Ottawa.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 7),2012-02-09,2012-02-18,"[('Honourable Fred Dickson', 1), ('Sénateur', 1), ('Période', 1), ('Fred Dickson', 1), ('Tour de la Paix sur', 1)]"
1331663014778,"1331663014778 Notice of half-masting: Death of Tony Silipo, former Member of the Legislative Assembly of Ontario for the riding of Davenport, from 1991 to 1999","Masting period: From sunrise to sunset on Thursday, March 15, 2012, the day of the funeral of Mr. Silipo",Masting location(s): All Government of Canada buildings and establishments in the riding of Davenport,Additional details: Rules for Half-masting the National Flag of Canada (Section 10),"1331663014778 Avis de mise en berne : Décès de Tony Silipo, ancien député de l'Assemblée législative de l'Ontario dans la circonscription de Davenport, de 1991 à 1999","Période de mise en berne : De l'aube jusqu'au crépuscule le jeudi 15 mars 2012, jour des funérailles de Monsieur Silipo",Endroit(s) de la mise en berne : Tous les édifices et établissements du gouvernement du Canada dans le comté de Davenport,Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 10),2012-03-15,2012-03-15,"[('Tony Silipo', 1), ('Silipo', 1), ('Décès de Tony Silipo', 1), (""ancien député de l'Assemblée"", 1), ('Période', 1)]"
1331818585809,"1331818585809 Notice of half-masting: Death of the Honourable Pierre Juneau who passed away February 21, 2012.","Masting period: From February 22 until sunset February 25, 2012, day of the funeral of the late Honourable Pierre Juneau.","Masting location(s): February 22 to 25: All Government of Canada buildings and establishments in the city of Montréal, Québec. February 25: The Peace Tower on Parliament Hill in Ottawa.",Additional details: Rules for Half-masting the National Flag of Canada (Section 7),1331818585809 Avis de mise en berne : Décès de l’honorable Pierre Juneau survenu le 21 février 2012.,"Période de mise en berne : Du 22 février jusqu’au crépuscule le 25 février 2012, jour des funérailles de feu l'honorable Pierre Juneau.","Endroit(s) de la mise en berne : Du 22 au 25 février : Tous les édifices et établissements du Gouvernement du Canada dans la ville de Montréal, Québec. Le 25 février : Tour de la Paix sur la Colline du Parlement à Ottawa.",Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 7),2012-02-22,2012-02-25,"[('Période', 1), ('Du', 1), ('la ville de Montréal', 1), ('Tour de la Paix sur', 1)]"
1335206372797,1335206372797 Notice of half-masting: The national day of remembrance of the Battle of Vimy Ridge,"Masting period: From sunrise to sunset on Monday April 9, 2012",Masting location(s): The Peace Tower in Ottawa,Additional details: Rules for Half-masting the National Flag of Canada (Section 11),1335206372797 Avis de mise en berne : La journée nationale de commémoration de la bataille de la crête de Vimy,"Période de mise en berne : De l'aube au crépuscule, lundi le 9 avril 2012",Endroit(s) de la mise en berne : La Tour de la Paix à Ottawa,Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 11),2012-04-09,2012-04-09,"[('de Vimy', 1), ('Période', 1), ('La Tour de la Paix à Ottawa', 1)]"
1335363872231,1335363872231 Notice of half-masting: Day of Mourning for Persons Killed or Injured in the Workplace (Workers' Mourning Day),"Masting period: From sunrise to sunset on Saturday, April 28, 2012 to mark this day of mourning",Masting location(s): The Peace Tower in Ottawa and on all Government of Canada buildings and establishments across Canada,Additional details: Rules for Half-masting the National Flag of Canada (Section 11),1335363872231 Avis de mise en berne : Jour de compassion pour les personnes tuées ou blessées au travail (Jour de compassion pour les travailleurs),"Période de mise en berne : De l'aube au crépuscule, le samedi 28 avril 2012, afin de souligner ce jour de compassion",Endroit(s) de la mise en berne : Les drapeaux sur la Tour de la Paix à Ottawa et sur tous les édifices et établissements du gouvernement du Canada partout au pays,Détails supplémentaires : Règles pour la mise en berne du drapeau national du Canada (Section 11),2012-04-28,2012-04-28,"[('Période', 1), ('Les', 1)]"
1338383765712,1338383765712 Notice of half-masting: Memorial Service for Deceased Parliamentarians,"Masting period: From 9:00 a.m. to 11:00 a.m. on Monday, June 4, 2012",Masting location(s): Peace Tower in Ottawa,"Additional details: The Flag on the Peace Tower in Ottawa will be flown at half-mast from 9:00 a.m. to 11:00 a.m. on Monday, June 4, 2012, for the duration of the annual Memorial Service on Parliament Hill to remember deceased Parliamentarians.",1338383765712 Avis de mise en berne : Service commémoratif pour les parlementaires décédés,"Période de mise en berne : Le lundi 4 juin 2012, de 9 h 00 à 11 h 00",Endroit(s) de la mise en berne : La Tour de la Paix à Ottawa,"Détails supplémentaires : Le drapeau sur la Tour de la Paix à Ottawa flottera en berne, le lundi 4 juin 2012, de 9 h 00 à 11 h 00, pour la durée du service commémoratif qui a lieu sur la Colline du Parlement en souvenir des parlementaires décédés.",,2012-06-04,"[('Période', 1), ('La Tour de la Paix à Ottawa', 1), ('Le', 1)]"
1340981256189,1340981256189 Notice of half-masting: National Day of Remembrance for Victims of Terrorism,"Masting period: Sunrise to sunset on Saturday, June 23, 2012","Masting location(s): Peace Tower, Ottawa","Additional details: As per the Rules for Half-masting the National Flag of Canada , the flag on the Peace Tower in Ottawa and on all Government of Canada buildings and establishments across the country will be flown at half-mast from sunrise to sunset on Saturday, June 23, 2012, to mark this day.",1340981256189 Avis de mise en berne : Journée nationale du souvenir des victimes de terrorisme,"Période de mise en berne : De l'aube au crépuscule, le samedi 23 juin 2012","Endroit(s) de la mise en berne : Tour de la Paix, Ottawa","Détails supplémentaires : Selon les Règles pour la mise en berne du drapeau national du Canada (article 11) , le drapeau sur la Tour de la Paix, à Ottawa, et sur tous les édifices et établissements du gouvernement du Canada partout au pays, flottera en berne de l'aube au crépuscule, le samedi 23 juin 2012, pour souligner cette journée.",2012-06-23,2012-06-23,"[('Période', 1), ('Tour de la Paix', 1)]"
